Time,Voc,Isc,Watt
11:05,21.00,1.84,38.64
11:10,21.10,1.95,41.15
11:15,21.00,1.77,37.17
11:20,20.90,1.86,38.87
11:25,20.80,1.96,40.77
11:30,20.80,1.84,38.27
11:35,20.40,0.86,17.54
11:40,20.60,0.83,17.10
11:45,21.30,1.89,40.26
11:50,21.00,1.67,35.07
11:55,21.20,1.88,39.86
12:00,21.20,1.71,36.25
12:05,20.50,1.64,33.62
12:10,20.60,0.81,16.69
12:15,20.60,0.90,18.54
12:20,20.70,0.79,16.35
12:25,21.30,1.57,33.44
12:30,21.10,1.74,36.71
12:35,21.00,1.74,36.54
12:40,20.90,1.77,36.99
12:45,20.80,1.65,34.32
12:50,20.80,1.63,33.90
12:55,20.30,0.69,14.01
13:00,20.30,0.48,9.74
13:05,20.50,0.53,10.87
13:10,20.70,0.58,12.01
13:15,20.80,0.80,16.64
13:20,21.20,1.31,27.77
13:25,21.40,1.56,33.38
13:30,21.20,1.48,31.38
13:35,21.20,1.63,34.56
13:40,21.10,1.47,31.02
13:45,21.00,1.36,28.56
13:50,21.10,1.20,25.32
13:55,21.10,1.01,21.31
14:00,20.80,0.65,13.52
