Time,Voc,Isc,Watt
11:05,20.60,1.78,36.67
11:10,20.80,1.85,38.48
11:15,20.80,1.67,34.74
11:20,20.70,1.95,40.37
11:25,20.70,1.95,40.37
11:30,20.60,1.77,36.46
11:35,20.20,0.85,17.17
11:40,20.40,0.83,16.93
11:45,21.10,1.78,37.56
11:50,20.80,1.52,31.62
11:55,20.80,1.52,31.62
12:00,20.50,1.04,21.32
12:05,20.90,1.33,27.80
12:10,20.30,0.64,12.99
12:15,20.30,0.72,14.62
12:20,20.40,0.67,13.67
12:25,21.10,1.58,33.34
12:30,21.00,1.64,34.44
12:35,20.70,1.70,35.19
12:40,20.60,1.69,34.81
12:45,20.50,1.60,32.80
12:50,20.60,1.56,32.14
12:55,20.20,0.63,12.73
13:00,20.30,0.49,9.95
13:05,20.70,0.60,12.42
13:10,20.90,0.74,15.47
13:15,20.80,0.90,18.72
13:20,21.10,1.36,28.70
13:25,21.10,1.50,31.65
13:30,21.90,1.38,30.22
13:35,21.00,1.56,32.76
13:40,20.80,1.44,29.95
13:45,20.90,1.25,26.13
13:50,20.90,1.15,24.04
13:55,21.10,1.01,21.31
14:00,20.70,0.63,13.04
