time	luxs
11	8543
11.08333333	8974
11.16666667	8345
11.25	8572
11.33333333	8975
11.41666667	8686
11.5	4630
11.58333333	4431
11.66666667	8571
11.75	7206
11.83333333	8047
11.91666667	8525
12	6543
12.08333333	3175
12.16666667	4343
12.25	3346
12.33333333	6296
12.41666667	7833
12.5	8353
12.58333333	8992
12.66666667	7830
12.75	7119
12.83333333	3205
12.91666667	2240
13	2461
13.08333333	3904
13.16666667	4143
13.25	5751
13.33333333	7137
13.41666667	5852
13.5	7965
13.58333333	6901
13.66666667	6014
13.75	6549
13.83333333	3904
14	3306
